# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 21 Sep 2026 03:01:54 +0200
#
# IP	number of (black)lists
#
64.89.160.201	6
64.226.92.6	6
64.226.120.54	6
65.181.112.168	6
66.70.214.93	6
66.116.224.33	6
66.116.241.89	6
66.132.172.32	6
66.132.172.97	6
66.132.172.110	6
66.132.172.111	6
66.132.172.138	6
66.132.172.187	6
66.132.172.189	6
66.132.172.190	6
66.132.172.197	6
66.132.172.199	6
66.132.172.200	6
66.132.172.208	6
66.132.172.216	6
66.132.186.163	6
66.132.186.165	6
66.132.186.167	6
66.132.186.192	6
66.132.186.193	6
66.132.186.198	6
66.132.186.203	6
66.132.186.206	6
66.132.195.33	6
66.132.195.36	6
66.132.195.41	6
66.132.195.45	6
66.132.195.62	6
66.132.195.64	6
66.132.195.77	6
66.132.195.80	6
66.132.195.91	6
66.132.195.124	6
66.132.195.126	6
66.132.224.82	6
66.132.224.85	6
66.132.224.90	6
66.132.224.91	6
66.132.224.94	6
66.132.224.224	6
66.132.224.225	6
66.132.224.227	6
66.132.224.230	6
66.132.224.231	6
66.132.224.234	6
66.132.224.237	6
66.132.224.238	6
68.233.116.124	6
69.5.7.218	6
69.5.20.133	6
69.5.169.3	6
69.5.169.4	6
69.5.169.6	6
69.5.169.11	6
69.5.169.12	6
69.5.169.13	6
69.5.169.14	6
69.5.169.16	6
69.5.169.21	6
69.5.169.24	6
69.5.169.36	6
69.5.169.39	6
69.5.169.41	6
69.5.169.45	6
69.5.169.47	6
69.5.169.50	6
69.5.169.52	6
69.5.169.53	6
69.5.169.54	6
69.5.169.59	6
69.5.169.60	6
69.5.169.61	6
69.5.169.63	6
69.5.169.65	6
69.5.169.71	6
69.5.169.73	6
69.5.169.74	6
69.5.169.78	6
69.5.169.80	6
69.5.169.84	6
69.5.169.85	6
69.5.169.94	6
69.5.169.97	6
69.5.169.100	6
69.5.169.105	6
69.5.169.111	6
69.5.169.125	6
69.5.169.128	6
69.5.169.131	6
69.5.169.133	6
69.5.169.140	6
69.5.169.144	6
69.5.169.148	6
69.5.169.149	6
69.5.169.152	6
69.5.169.155	6
69.5.169.159	6
69.5.169.165	6
69.5.169.168	6
69.5.169.171	6
69.5.169.172	6
69.5.169.174	6
69.5.169.184	6
69.5.169.188	6
69.5.169.189	6
69.5.169.191	6
69.5.169.194	6
69.5.169.196	6
69.5.169.197	6
69.5.169.198	6
69.5.169.201	6
69.5.169.202	6
69.5.169.206	6
69.5.169.212	6
69.5.169.216	6
69.5.169.217	6
69.5.169.218	6
69.5.169.224	6
69.5.169.227	6
69.5.169.236	6
69.5.169.239	6
69.5.169.240	6
69.5.169.242	6
69.5.169.246	6
69.5.169.247	6
69.5.169.251	6
69.5.169.252	6
69.5.169.254	6
70.120.203.193	6
70.169.12.247	6
71.6.134.228	6
71.6.134.230	6
71.6.134.236	6
71.6.135.131	6
71.6.165.200	6
71.229.1.186	6
72.167.227.34	6
72.253.251.3	6
72.253.251.7	6
73.93.207.215	6
74.82.47.3	6
74.82.47.4	6
74.82.47.5	6
74.94.234.151	6
74.208.32.143	6
74.249.131.245	6
75.112.23.30	6
76.79.213.69	6
76.132.238.43	6
77.90.185.121	6
77.90.185.238	6
77.94.99.50	6
77.232.132.54	6
77.239.124.183	6
77.239.124.253	6
78.39.48.166	6
78.109.200.147	6
78.134.49.171	6
78.135.111.62	6
78.135.111.63	6
78.135.111.65	6
78.138.168.46	6
79.3.96.178	6
79.143.45.75	6
80.87.83.229	6
80.91.223.114	6
80.94.92.179	6
80.245.141.40	6
81.19.219.203	6
81.19.219.221	6
81.19.219.231	6
81.28.167.30	6
81.177.135.109	6
81.192.46.29	6
81.193.216.17	6
81.215.2.43	6
81.230.146.243	6
82.65.207.68	6
82.193.122.91	6
83.226.56.106	6
85.11.167.154	6
85.69.240.210	6
85.95.166.40	6
85.159.227.240	6
85.185.201.10	6
85.198.19.100	6
85.198.19.217	6
85.198.19.242	6
85.198.19.251	6
85.216.81.75	6
85.217.140.2	6
85.217.149.1	6
85.217.149.2	6
85.217.149.3	6
85.217.149.4	6
85.217.149.5	6
85.217.149.6	6
85.217.149.7	6
85.217.149.21	6
85.217.149.42	6
85.217.149.47	6
85.217.149.59	6
85.217.149.60	6
85.217.149.67	6
85.217.149.70	6
85.240.193.104	6
86.54.31.38	6
87.103.126.54	6
87.106.29.151	6
87.106.44.172	6
